Date_and_Time,In_Total,Out_Total,Date,Hour,Weekend,Public_Holiday
1/1/2023 0:00,118,1722,1,0,TRUE,TRUE
1/1/2023 1:00,448,3061,1,1,TRUE,TRUE
1/1/2023 2:00,778,2150,1,2,TRUE,TRUE
1/1/2023 3:00,1108,1577,1,3,TRUE,TRUE
1/1/2023 4:00,1438,662,1,4,TRUE,TRUE
1/1/2023 5:00,4668,594,1,5,TRUE,TRUE
1/1/2023 6:00,0,0,1,6,TRUE,TRUE
1/1/2023 7:00,0,0,1,7,TRUE,TRUE
1/1/2023 8:00,0,0,1,8,TRUE,TRUE
1/1/2023 9:00,0,0,1,9,TRUE,TRUE
1/1/2023 10:00,4427,1417,1,10,TRUE,TRUE
1/1/2023 11:00,3516.25,1975,1,11,TRUE,TRUE
1/1/2023 12:00,2605.5,2501,1,12,TRUE,TRUE
1/1/2023 13:00,1694.75,2409,1,13,TRUE,TRUE
1/1/2023 14:00,784,2243,1,14,TRUE,TRUE
1/1/2023 15:00,2971,2041,1,15,TRUE,TRUE
1/1/2023 16:00,2056,2294,1,16,TRUE,TRUE
1/1/2023 17:00,2217,2592,1,17,TRUE,TRUE
1/1/2023 18:00,1685,2745,1,18,TRUE,TRUE
1/1/2023 19:00,3756,2797,1,19,TRUE,TRUE
1/1/2023 20:00,2900,2769,1,20,TRUE,TRUE
1/1/2023 21:00,2899,2464,1,21,TRUE,TRUE
1/1/2023 22:00,3403,2207,1,22,TRUE,TRUE
1/1/2023 23:00,2707,1579,1,23,TRUE,TRUE
1/2/2023 0:00,1961,1097,2,0,FALSE,FALSE
1/2/2023 1:00,1309,642,2,1,FALSE,FALSE
1/2/2023 2:00,785,360,2,2,FALSE,FALSE
1/2/2023 3:00,413,263,2,3,FALSE,FALSE
1/2/2023 4:00,304,380,2,4,FALSE,FALSE
1/2/2023 5:00,376.5,756,2,5,FALSE,FALSE
1/2/2023 6:00,449,1542,2,6,FALSE,FALSE
1/2/2023 7:00,4497,3117,2,7,FALSE,FALSE
1/2/2023 8:00,7584,3560,2,8,FALSE,FALSE
1/2/2023 9:00,7904,2710,2,9,FALSE,FALSE
1/2/2023 10:00,5781,2634,2,10,FALSE,FALSE
1/2/2023 11:00,3149,2952,2,11,FALSE,FALSE
1/2/2023 12:00,2111,2793,2,12,FALSE,FALSE
1/2/2023 13:00,2141,3147,2,13,FALSE,FALSE
1/2/2023 14:00,2385,2920,2,14,FALSE,FALSE
1/2/2023 15:00,242,2906,2,15,FALSE,FALSE
1/2/2023 16:00,3933,3976,2,16,FALSE,FALSE
1/2/2023 17:00,3760,4137,2,17,FALSE,FALSE
1/2/2023 18:00,3590,3184,2,18,FALSE,FALSE
1/2/2023 19:00,3259,2868,2,19,FALSE,FALSE
1/2/2023 20:00,3228,2389,2,20,FALSE,FALSE
1/2/2023 21:00,3703,2219,2,21,FALSE,FALSE
1/2/2023 22:00,3618,1819,2,22,FALSE,FALSE
1/2/2023 23:00,3029,1172,2,23,FALSE,FALSE
1/3/2023 0:00,3101,909,3,0,FALSE,FALSE
1/3/2023 1:00,2808,490,3,1,FALSE,FALSE
1/3/2023 2:00,2188,368,3,2,FALSE,FALSE
1/3/2023 3:00,1842,384,3,3,FALSE,FALSE
1/3/2023 4:00,1891,379,3,4,FALSE,FALSE
1/3/2023 5:00,4159,837,3,5,FALSE,FALSE
1/3/2023 6:00,4561,1466,3,6,FALSE,FALSE
1/3/2023 7:00,6463,3287,3,7,FALSE,FALSE
1/3/2023 8:00,5571,3791,3,8,FALSE,FALSE
1/3/2023 9:00,4962,2932,3,9,FALSE,FALSE
1/3/2023 10:00,3727,3014,3,10,FALSE,FALSE
1/3/2023 11:00,2856,3182,3,11,FALSE,FALSE
1/3/2023 12:00,2664,3095,3,12,FALSE,FALSE
1/3/2023 13:00,2466,2976,3,13,FALSE,FALSE
1/3/2023 14:00,2257,2678,3,14,FALSE,FALSE
1/3/2023 15:00,2780,3262,3,15,FALSE,FALSE
1/3/2023 16:00,3054,3995,3,16,FALSE,FALSE
1/3/2023 17:00,3428,4636,3,17,FALSE,FALSE
1/3/2023 18:00,3081,3414,3,18,FALSE,FALSE
1/3/2023 19:00,1796,1875,3,19,FALSE,FALSE
1/3/2023 20:00,1539,1748,3,20,FALSE,FALSE
1/3/2023 21:00,2606,2285,3,21,FALSE,FALSE
1/3/2023 22:00,2283,1718,3,22,FALSE,FALSE
1/3/2023 23:00,1586,1125,3,23,FALSE,FALSE
1/4/2023 0:00,2211,773,4,0,FALSE,FALSE
1/4/2023 1:00,1314,385,4,1,FALSE,FALSE
1/4/2023 2:00,1033,265,4,2,FALSE,FALSE
1/4/2023 3:00,37,283,4,3,FALSE,FALSE
1/4/2023 4:00,262.25,311,4,4,FALSE,FALSE
1/4/2023 5:00,487.5,881,4,5,FALSE,FALSE
1/4/2023 6:00,712.75,1770,4,6,FALSE,FALSE
1/4/2023 7:00,938,3474,4,7,FALSE,FALSE
1/4/2023 8:00,4710,4115,4,8,FALSE,FALSE
1/4/2023 9:00,2949,3100,4,9,FALSE,FALSE
1/4/2023 10:00,2828,3275,4,10,FALSE,FALSE
1/4/2023 11:00,1952,3215,4,11,FALSE,FALSE
1/4/2023 12:00,1388,3433,4,12,FALSE,FALSE
1/4/2023 13:00,824,3187,4,13,FALSE,FALSE
1/4/2023 14:00,62,3319,4,14,FALSE,FALSE
1/4/2023 15:00,3181,3003,4,15,FALSE,FALSE
1/4/2023 16:00,514,3571,4,16,FALSE,FALSE
1/4/2023 17:00,123,4197,4,17,FALSE,FALSE
1/4/2023 18:00,123,3247,4,18,FALSE,FALSE
1/4/2023 19:00,193,2704,4,19,FALSE,FALSE
1/4/2023 20:00,403.8,2174,4,20,FALSE,FALSE
1/4/2023 21:00,614.6,2109,4,21,FALSE,FALSE
1/4/2023 22:00,825.4,1609,4,22,FALSE,FALSE
1/4/2023 23:00,1036.2,979,4,23,FALSE,FALSE
1/5/2023 0:00,1247,666,5,0,FALSE,FALSE
1/5/2023 1:00,6057,420,5,1,FALSE,FALSE
1/5/2023 2:00,4523,266,5,2,FALSE,FALSE
1/5/2023 3:00,4625,295,5,3,FALSE,FALSE
1/5/2023 4:00,4716,303,5,4,FALSE,FALSE
1/5/2023 5:00,4166,733,5,5,FALSE,FALSE
1/5/2023 6:00,227,1759,5,6,FALSE,FALSE
1/5/2023 7:00,656.6666667,3413,5,7,FALSE,FALSE
1/5/2023 8:00,1086.333333,4041,5,8,FALSE,FALSE
1/5/2023 9:00,1516,3473,5,9,FALSE,FALSE
1/5/2023 10:00,6929,3096,5,10,FALSE,FALSE
1/5/2023 11:00,3191,3345,5,11,FALSE,FALSE
1/5/2023 12:00,2215,3366,5,12,FALSE,FALSE
1/5/2023 13:00,2540,3352,5,13,FALSE,FALSE
1/5/2023 14:00,2193,3576,5,14,FALSE,FALSE
1/5/2023 15:00,1223,3169,5,15,FALSE,FALSE
1/5/2023 16:00,243,3916,5,16,FALSE,FALSE
1/5/2023 17:00,300,4588,5,17,FALSE,FALSE
1/5/2023 18:00,551,3841,5,18,FALSE,FALSE
1/5/2023 19:00,2922,3326,5,19,FALSE,FALSE
1/5/2023 20:00,1261,1705,5,20,FALSE,FALSE
1/5/2023 21:00,2267,2447,5,21,FALSE,FALSE
1/5/2023 22:00,4452,1951,5,22,FALSE,FALSE
1/5/2023 23:00,4287,1390,5,23,FALSE,FALSE
1/6/2023 0:00,4820,1088,6,0,FALSE,FALSE
1/6/2023 1:00,6667,829,6,1,FALSE,FALSE
1/6/2023 2:00,6059,464,6,2,FALSE,FALSE
1/6/2023 3:00,1228,395,6,3,FALSE,FALSE
1/6/2023 4:00,6304,334,6,4,FALSE,FALSE
1/6/2023 5:00,7183,867,6,5,FALSE,FALSE
1/6/2023 6:00,7357,1869,6,6,FALSE,FALSE
1/6/2023 7:00,7089,3522,6,7,FALSE,FALSE
1/6/2023 8:00,4904,3883,6,8,FALSE,FALSE
