Date,Close,Volume
2/28/2025,6125,14415600
3/3/2025,6400,13993600
3/4/2025,6075,23552800
3/5/2025,6100,9871600
3/6/2025,6325,10928500
3/7/2025,6475,22735800
3/10/2025,6225,9591300
3/11/2025,6150,8972200
3/12/2025,6150,5643400
3/13/2025,6075,5912700
3/14/2025,6025,6515500
3/17/2025,5725,13714900
3/18/2025,5050,49691200
3/19/2025,5300,21392000
3/20/2025,5600,23914000
3/21/2025,5975,44922600
3/24/2025,5450,25866200
3/25/2025,5125,15840600
3/26/2025,5450,15462000
3/27/2025,5500,10002700
4/8/2025,4740,23613500
4/9/2025,4250,24074500
4/10/2025,5000,32828300
4/11/2025,5150,19504500
4/14/2025,5650,33865700
4/15/2025,5900,27318000
4/16/2025,5600,20798300
4/17/2025,5600,8101700
4/21/2025,5600,6984400
4/22/2025,6000,21718600
4/23/2025,6100,20022000
4/24/2025,6000,55496500
4/25/2025,6000,9172000
4/28/2025,6050,26241400
4/29/2025,6025,8116900
4/30/2025,6025,7406500
5/2/2025,6100,11343400
5/5/2025,6150,14416100
5/6/2025,6200,23176000
5/7/2025,6100,70037000
5/8/2025,5950,21520300
5/9/2025,6000,9024500
5/14/2025,6175,17243800
5/15/2025,6200,21087000
5/16/2025,6675,66787100
5/19/2025,6500,27206000
5/20/2025,6500,42947100
5/21/2025,6500,18383400
5/22/2025,6500,8950800
5/23/2025,6650,18462000
5/26/2025,6525,19338300
5/27/2025,6575,16376900
5/28/2025,6500,10009200
6/2/2025,6275,13383300
6/3/2025,6200,10494200
6/4/2025,6150,6962600
6/5/2025,6350,21487100
6/10/2025,6725,46468500
6/11/2025,6575,30497100
6/12/2025,6450,18601700
6/13/2025,6375,20286500
6/16/2025,6325,13282300
6/17/2025,6400,16143200
6/18/2025,6300,9674300
6/19/2025,6125,19086900
6/20/2025,6050,18678500
6/23/2025,5800,14815400
6/24/2025,5850,14893700
6/25/2025,5775,8470800
6/26/2025,5775,6855600
6/30/2025,5875,13487000
7/1/2025,5900,22084700
7/2/2025,5825,15638000
7/3/2025,5750,3185700
7/4/2025,5700,4715800
7/7/2025,5825,15984900
7/8/2025,6000,11718100
7/9/2025,5975,9563400
7/10/2025,6100,15585100
7/11/2025,6100,12951800
7/14/2025,7300,150102200
7/15/2025,7750,121620600
7/16/2025,7700,55971100
7/17/2025,7725,38443100
7/18/2025,8000,95900700
7/21/2025,7900,45820100
7/22/2025,7875,70858500
7/23/2025,7825,33058300
7/24/2025,7725,20312400
7/25/2025,7650,20860300
7/28/2025,7925,29391500
7/29/2025,7925,21903100
7/30/2025,7825,22115500
7/31/2025,7825,10829100
8/1/2025,7800,15546700
8/4/2025,7200,38666700
8/5/2025,7075,35004600
8/6/2025,7225,21124000
8/7/2025,7250,25660000
8/8/2025,7950,73663400
8/11/2025,8750,84544500
8/12/2025,9100,72575500
8/13/2025,9100,55874800
8/14/2025,9225,37491300
8/15/2025,8750,39895400
8/19/2025,8575,30511700
8/20/2025,8600,15708700
8/21/2025,8425,23015500
8/22/2025,8525,18611300
8/25/2025,8925,27637600
8/26/2025,8875,37895200
8/27/2025,9800,76579700
