Date,In_Total,Out_Total,Total_Total
2023-01-01,36029,41799,77828
2023-01-02,69135,53543,122678
2023-01-03,73669,53846,127515
2023-01-04,22992,55379,78371
2023-01-05,61651,58437,120088
2023-01-06,88856,63562,152418
2023-01-07,41084,54367,95451
2023-01-08,37869,43534,81403
2023-01-09,46203,58228,104431
2023-01-10,51557,61078,112635
2023-01-11,48731,37391,86122
2023-01-12,50710,60924,111634
2023-01-13,85333,63782,149115
2023-01-14,77099,51581,128680
2023-01-15,35941,42415,78356
2023-01-16,36731,48727,85458
2023-01-17,53132,55141,108273
2023-01-18,49583,55875,105458
2023-01-19,46053,55455,101508
2023-01-20,48921,59384,108305
2023-01-21,45449,47301,92750
2023-01-22,48287,35940,84227
2023-01-23,63838,38349,102187
2023-01-24,68912,54386,123298
2023-01-25,64632,55614,120246
2023-01-26,34013,56136,90149
2023-01-27,50132,57401,107533
2023-01-28,23745,42398,66143
2023-01-29,14261,35423,49684
2023-01-30,41137,55484,96621
2023-01-31,53328,56453,109781
2023-02-01,11131,55846,66977
2023-02-02,2966,54989,57955
2023-02-03,50795,57078,107873
2023-02-04,108007,46028,154035
2023-02-05,76296,35865,112161
2023-02-06,72480,55185,127665
2023-02-07,78063,54955,133018
2023-02-08,52448,55886,108334
2023-02-09,90037,57035,147072
2023-02-10,45045,57614,102659
2023-02-11,42064,43544,85608
2023-02-12,27310,27522,54832
2023-02-13,68555,56388,124943
2023-02-14,54556,56090,110646
2023-02-15,41767,56592,98359
2023-02-16,47730,51299,99029
2023-02-17,60866,58228,119094
2023-02-18,37105,45490,82595
2023-02-19,34930,34175,69105
2023-02-20,37546,54765,92311
2023-02-21,47729,55176,102905
2023-02-22,60495,55395,115890
2023-02-23,119020,54930,173950
2023-02-24,87751,55069,142820
2023-02-25,86932,43234,130166
2023-02-26,68712,32295,101007
2023-02-27,69401,54622,124023
2023-02-28,77492,55701,133193
2023-03-01,93764,55307,149071
2023-03-02,89643,55620,145263
2023-03-03,90785,57180,147965
2023-03-04,90834,47146,137980
2023-03-05,94026,33297,127323
2023-03-06,72062,55665,127727
2023-03-07,41413,53050,94463
2023-03-08,37417,45457,82874
2023-03-09,70897,51664,122561
2023-03-10,46710,49325,96035
2023-03-11,45399,41729,87128
2023-03-12,37850,32516,70366
2023-03-13,43974,52531,96505
2023-03-14,48748,49568,98316
2023-03-15,76274,52034,128308
2023-03-16,97758,55219,152977
2023-03-17,49210,56616,105826
2023-03-18,45420,44764,90184
2023-03-19,38326,27651,65977
2023-03-20,43760,40036,83796
2023-03-21,50657,51175,101832
2023-03-22,35543,30761,66304
2023-03-23,32225,28714,60939
2023-03-24,46368,44447,90815
2023-03-25,54874,32793,87667
2023-03-26,46433,25165,71598
2023-03-27,77431,50134,127565
2023-03-28,62182,50278,112460
2023-03-29,64794,51006,115800
2023-03-30,103887,50298,154185
2023-03-31,52481,54976,107457
2023-04-01,43962,40794,84756
2023-04-02,35608,30957,66565
2023-04-03,1705,53226,54931
2023-04-04,2506,53794,56300
2023-04-05,50706,54530,105236
2023-04-06,30509,54218,84727
2023-04-07,42194,37182,79376
2023-04-08,40934,40071,81005
2023-04-09,38531,32104,70635
2023-04-10,34642,55905,90547
2023-04-11,36743,55408,92151
2023-04-12,41015,54959,95974
2023-04-13,40965,54860,95825
2023-04-14,28165,54220,82385
2023-04-15,98652,42311,140963
2023-04-16,76966,31398,108364
2023-04-17,70742,54011,124753
2023-04-18,63332,55221,118553
2023-04-19,56817,40890,97707
2023-04-20,46486,34252,80738
2023-04-21,55266,35876,91142
2023-04-22,67611,30517,98128
2023-04-23,28377,25495,53872
2023-04-24,28218,34172,62390
2023-04-25,47314,31028,78342
2023-04-26,42302,40226,82528
2023-04-27,43085,42991,86076
2023-04-28,34834,45049,79883
2023-04-29,79386,38105,117491
2023-04-30,45748,29702,75450
2023-05-01,33025,20575,53600
2023-05-02,43999,45403,89402
2023-05-03,44174,48392,92566
2023-05-04,34465,51730,86195
2023-05-05,31159,57039,88198
2023-05-06,50453,41370,91823
2023-05-07,51296,39047,90343
2023-05-08,59061,43756,102817
2023-05-09,70023,48318,118341
2023-05-10,52945,49943,102888
2023-05-11,86853,49500,136353
2023-05-12,2598,45629,48227
2023-05-13,8612,43816,52428
2023-05-14,86276,20987,107263
2023-05-15,99755,47382,147137
2023-05-16,28668,53344,82012
2023-05-17,30929,45867,76796
2023-05-18,28397,35058,63455
2023-05-19,29820,52539,82359
2023-05-20,8606,153597,162203
2023-05-21,48906,118083,166989
2023-05-22,54467,159565,214032
2023-05-23,42725,169089,211814
2023-05-24,51852,180565,232417
2023-05-25,40875,174796,215671
2023-05-26,54623,181034,235657
2023-05-27,59040,170357,229397
2023-05-28,46847,82355,129202
2023-05-29,44560,133495,178055
2023-05-30,70506,145363,215869
2023-05-31,60623,163327,223950
2023-06-01,44975,197833,242808
2023-06-02,23504,186727,210231
2023-06-03,21847,163454,185301
2023-06-04,34049,132670,166719
2023-06-05,59202,164507,223709
2023-06-06,50610,174814,225424
2023-06-07,47580,165199,212779
2023-06-08,47955,155283,203238
